Date,AED,AMD,AUD,AZN,BDT,BGN,BHD,BOB,BRL,BYN,CAD,CHF,CNY,CUP,CZK,DKK,DZD,EGP,ETB,EUR,GBP,GEL,HKD,HUF,IDR,INR,IRR,JPY,KGS,KRW,KZT,MDL,MMK,MNT,NGN,NOK,NZD,OMR,PLN,QAR,RON,RSD,SAR,SEK,SGD,THB,TJS,TMT,TRY,UAH,USD,UZS,VND,XDR,ZAR
2025-09-25,22.8704,0.21945900000000002,55.6443,49.4067,0.6898340000000001,50.6439,223.3331,12.1551,15.8295,27.6442,60.7225,105.7959,11.7231,3.4996400000000003,4.066,13.27,0.649753,1.7439,0.580686,98.6015,113.5984,30.9463,10.8195,0.253345,0.005048769999999999,0.946269,0.000142957,0.568277,0.960451,0.0602607,0.15411,5.05117,0.0399959,0.023369,0.0564699,8.48621,49.2232,218.4432,23.1675,23.0746,19.4596,0.846027,22.3977,9.0139,65.3935,2.62917,8.920359999999999,23.9975,2.03002,2.02826,83.9914,0.0069009299999999996,0.00333484,115.3975,4.84922
2025-09-26,22.7657,0.21802700000000003,55.1388,49.1805,0.686269,50.2539,222.3107,12.0994,15.7425,27.5313,60.1792,105.047,11.7064,3.4836199999999997,4.0387900000000005,13.1685,0.645275,1.73736,0.579233,98.1542,112.4596,30.8399,10.7685,0.25126000000000004,0.0050124,0.9429040000000001,0.000143508,0.5623279999999999,0.9560540000000001,0.0599376,0.154029,5.00586,0.0398128,0.023267600000000003,0.056166100000000004,8.4093,48.6132,217.4432,23.0354,22.9689,19.349,0.8384969999999999,22.2952,8.90695,64.9223,2.6002,8.89085,23.8877,2.01901,2.01492,83.6069,0.00684232,0.00331892,114.6376,4.8285
2025-09-27,22.767,0.218473,54.6821,49.1834,0.686309,50.1841,222.3238,12.1001,15.6512,27.522,60.0358,104.6063,11.6751,3.4838299999999998,4.01228,13.15,0.645313,1.73746,0.580293,97.6823,111.605,30.8383,10.765,0.249558,0.00499115,0.942387,0.000143516,0.55838,0.95611,0.0597057,0.15435600000000002,5.00008,0.0398151,0.023264299999999998,0.056180999999999995,8.39695,48.1813,217.4559,22.8898,22.9703,19.2388,0.833295,22.2965,8.88373,64.685,2.5943,8.89137,23.8891,2.01804,2.01577,83.6118,0.00685359,0.00331872,114.5933,4.79197
2025-09-28,22.767,0.218473,54.6821,49.1834,0.686309,50.1841,222.3238,12.1001,15.6512,27.522,60.0358,104.6063,11.6751,3.4838299999999998,4.01228,13.15,0.645313,1.73746,0.580293,97.6823,111.605,30.8383,10.765,0.249558,0.00499115,0.942387,0.000143516,0.55838,0.95611,0.0597057,0.15435600000000002,5.00008,0.0398151,0.023264299999999998,0.056180999999999995,8.39695,48.1813,217.4559,22.8898,22.9703,19.2388,0.833295,22.2965,8.88373,64.685,2.5943,8.89137,23.8891,2.01804,2.01577,83.6118,0.00685359,0.00331872,114.5933,4.79197
2025-09-29,22.767,0.218473,54.6821,49.1834,0.686309,50.1841,222.3238,12.1001,15.6512,27.522,60.0358,104.6063,11.6751,3.4838299999999998,4.01228,13.15,0.645313,1.73746,0.580293,97.6823,111.605,30.8383,10.765,0.249558,0.00499115,0.942387,0.000143516,0.55838,0.95611,0.0597057,0.15435600000000002,5.00008,0.0398151,0.023264299999999998,0.056180999999999995,8.39695,48.1813,217.4559,22.8898,22.9703,19.2388,0.833295,22.2965,8.88373,64.685,2.5943,8.89137,23.8891,2.01804,2.01577,83.6118,0.00685359,0.00331872,114.5933,4.79197
2025-09-30,22.5644,0.216506,54.4523,48.7456,0.680329,49.4537,220.3449,11.9924,15.5061,27.397,59.4416,104.0919,11.5978,3.45282,3.99824,12.959,0.639655,1.72471,0.572538,97.141,111.0592,30.6044,10.6692,0.248777,0.00493994,0.9336579999999999,0.000141097,0.5557110000000001,0.948121,0.058704700000000005,0.152257,4.92465,0.0394608,0.0230531,0.0559668,8.2595,47.885,215.5204,22.7589,22.7658,19.1212,0.829535,22.098,8.76353,64.2136,2.57026,8.8173,23.6765,1.99897,2.00562,82.8676,0.0068267399999999995,0.00328944,113.1632,4.79741
2025-10-01,22.4938,0.215958,54.5381,48.5932,0.6783790000000001,49.5144,219.6557,11.9549,15.5203,27.4255,59.3409,103.7664,11.5548,3.4420200000000003,3.98555,12.9734,0.638054,1.72552,0.564193,96.8644,110.8522,30.4963,10.6344,0.248304,0.00495254,0.930355,0.000140919,0.555052,0.945072,0.058913400000000005,0.150528,4.9370899999999995,0.0393373,0.0229929,0.0559546,8.29302,47.7683,214.8463,22.7477,22.6946,19.1015,0.826716,22.0289,8.77986,63.9731,2.55532,8.789719999999999,23.6024,1.98885,2.00788,82.6084,0.00684538,0.0032798000000000002,113.1355,4.78022
