NumCode,CharCode,Nominal,Name,Value,ValuePerUnit,Date
036,AUD,1,Австралийский доллар,"56,1801",56.1801,2025-09-15
944,AZN,1,Азербайджанский манат,"49,6352",49.6352,2025-09-15
012,DZD,100,Алжирских динаров,"65,0804",0.6508039999999999,2025-09-15
051,AMD,100,Армянских драмов,"22,0043",0.22004300000000002,2025-09-15
764,THB,10,Батов,"26,6250",2.6625,2025-09-15
048,BHD,1,Бахрейнский динар,"224,3659",224.3659,2025-09-15
933,BYN,1,Белорусский рубль,"27,3800",27.38,2025-09-15
975,BGN,1,Болгарский лев,"50,4121",50.4121,2025-09-15
068,BOB,1,Боливиано,"12,2113",12.2113,2025-09-15
986,BRL,1,Бразильский реал,"15,6680",15.668,2025-09-15
410,KRW,1000,Вон,"60,7311",0.060731099999999996,2025-09-15
344,HKD,1,Гонконгский доллар,"10,8611",10.8611,2025-09-15
980,UAH,10,Гривен,"20,4390",2.0439,2025-09-15
208,DKK,1,Датская крона,"13,2327",13.2327,2025-09-15
784,AED,1,Дирхам ОАЭ,"22,9761",22.9761,2025-09-15
840,USD,1,Доллар США,"84,3798",84.3798,2025-09-15
704,VND,10000,Донгов,"33,4628",0.00334628,2025-09-15
978,EUR,1,Евро,"99,3304",99.3304,2025-09-15
818,EGP,10,Египетских фунтов,"17,5057",1.7505700000000002,2025-09-15
985,PLN,1,Злотый,"23,2131",23.2131,2025-09-15
392,JPY,100,Иен,"57,2804",0.572804,2025-09-15
356,INR,100,Индийских рупий,"95,5814",0.955814,2025-09-15
364,IRR,100000,Иранских риалов,"14,5407",0.00014540699999999999,2025-09-15
124,CAD,1,Канадский доллар,"60,9504",60.9504,2025-09-15
634,QAR,1,Катарский риал,"23,1813",23.1813,2025-09-15
192,CUP,10,Кубинских песо,"35,1583",3.51583,2025-09-15
104,MMK,1000,Кьятов,"40,1809",0.0401809,2025-09-15
981,GEL,1,Лари,"31,3225",31.3225,2025-09-15
498,MDL,10,Молдавских леев,"50,5880",5.0588,2025-09-15
566,NGN,1000,Найр,"56,1734",0.0561734,2025-09-15
554,NZD,1,Новозеландский доллар,"50,3790",50.379,2025-09-15
934,TMT,1,Новый туркменский манат,"24,1085",24.1085,2025-09-15
578,NOK,10,Норвежских крон,"84,9105",8.49105,2025-09-15
512,OMR,1,Оманский риал,"219,4533",219.4533,2025-09-15
946,RON,1,Румынский лей,"19,5062",19.5062,2025-09-15
360,IDR,10000,Рупий,"51,2386",0.00512386,2025-09-15
710,ZAR,10,Рэндов,"48,4866",4.848660000000001,2025-09-15
682,SAR,1,Саудовский риял,"22,5013",22.5013,2025-09-15
960,XDR,1,СДР (специальные права заимствования),"115,5514",115.5514,2025-09-15
941,RSD,100,Сербских динаров,"84,4496",0.844496,2025-09-15
702,SGD,1,Сингапурский доллар,"65,7932",65.7932,2025-09-15
417,KGS,100,Сомов,"96,4892",0.964892,2025-09-15
972,TJS,10,Сомони,"88,6901",8.86901,2025-09-15
050,BDT,100,Так,"69,3095",0.693095,2025-09-15
398,KZT,100,Тенге,"15,6581",0.156581,2025-09-15
496,MNT,1000,Тугриков,"23,4728",0.0234728,2025-09-15
949,TRY,10,Турецких лир,"20,4565",2.0456499999999997,2025-09-15
860,UZS,10000,Узбекских сумов,"67,7894",0.00677894,2025-09-15
348,HUF,100,Форинтов,"25,2483",0.252483,2025-09-15
826,GBP,1,Фунт стерлингов,"114,3937",114.3937,2025-09-15
203,CZK,10,Чешских крон,"40,6669",4.0666899999999995,2025-09-15
752,SEK,10,Шведских крон,"90,0313",9.00313,2025-09-15
756,CHF,1,Швейцарский франк,"105,8187",105.8187,2025-09-15
230,ETB,100,Эфиопских быров,"58,7533",0.5875330000000001,2025-09-15
156,CNY,1,Юань,"11,8263",11.8263,2025-09-15
