NumCode,CharCode,Nominal,Name,Value,ValuePerUnit,Date
036,AUD,1,Австралийский доллар,"55,3341",55.3341,2025-09-16
944,AZN,1,Азербайджанский манат,"48,8658",48.8658,2025-09-16
012,DZD,100,Алжирских динаров,"64,1604",0.641604,2025-09-16
051,AMD,100,Армянских драмов,"21,6830",0.21683,2025-09-16
764,THB,10,Батов,"26,0666",2.60666,2025-09-16
048,BHD,1,Бахрейнский динар,"220,8879",220.8879,2025-09-16
933,BYN,1,Белорусский рубль,"27,3298",27.3298,2025-09-16
975,BGN,1,Болгарский лев,"49,7710",49.771,2025-09-16
068,BOB,1,Боливиано,"12,0220",12.022,2025-09-16
986,BRL,1,Бразильский реал,"15,4771",15.4771,2025-09-16
410,KRW,1000,Вон,"59,8198",0.0598198,2025-09-16
344,HKD,1,Гонконгский доллар,"10,6982",10.6982,2025-09-16
980,UAH,10,Гривен,"20,1476",2.01476,2025-09-16
208,DKK,1,Датская крона,"13,0411",13.0411,2025-09-16
784,AED,1,Дирхам ОАЭ,"22,6200",22.62,2025-09-16
840,USD,1,Доллар США,"83,0718",83.0718,2025-09-16
704,VND,10000,Донгов,"32,9441",0.00329441,2025-09-16
978,EUR,1,Евро,"97,4502",97.4502,2025-09-16
818,EGP,10,Египетских фунтов,"17,2422",1.72422,2025-09-16
985,PLN,1,Злотый,"22,9556",22.9556,2025-09-16
392,JPY,100,Иен,"56,3925",0.563925,2025-09-16
356,INR,100,Индийских рупий,"94,1121",0.941121,2025-09-16
364,IRR,100000,Иранских риалов,"14,4164",0.00014416399999999998,2025-09-16
124,CAD,1,Канадский доллар,"59,9883",59.9883,2025-09-16
634,QAR,1,Катарский риал,"22,8219",22.8219,2025-09-16
192,CUP,10,Кубинских песо,"34,6133",3.4613300000000002,2025-09-16
104,MMK,1000,Кьятов,"39,5580",0.039558,2025-09-16
981,GEL,1,Лари,"30,7651",30.7651,2025-09-16
498,MDL,10,Молдавских леев,"50,0798",5.00798,2025-09-16
566,NGN,1000,Найр,"55,3259",0.0553259,2025-09-16
554,NZD,1,Новозеландский доллар,"49,5233",49.5233,2025-09-16
934,TMT,1,Новый туркменский манат,"23,7348",23.7348,2025-09-16
578,NOK,10,Норвежских крон,"84,0289",8.40289,2025-09-16
512,OMR,1,Оманский риал,"216,0515",216.0515,2025-09-16
946,RON,1,Румынский лей,"19,2724",19.2724,2025-09-16
360,IDR,10000,Рупий,"50,6813",0.00506813,2025-09-16
710,ZAR,10,Рэндов,"47,8877",4.78877,2025-09-16
682,SAR,1,Саудовский риял,"22,1525",22.1525,2025-09-16
960,XDR,1,СДР (специальные права заимствования),"113,9587",113.9587,2025-09-16
941,RSD,100,Сербских динаров,"83,1962",0.8319620000000001,2025-09-16
702,SGD,1,Сингапурский доллар,"64,8239",64.8239,2025-09-16
417,KGS,100,Сомов,"94,9935",0.949935,2025-09-16
972,TJS,10,Сомони,"87,3089",8.730889999999999,2025-09-16
050,BDT,100,Так,"68,2520",0.6825199999999999,2025-09-16
398,KZT,100,Тенге,"15,3598",0.153598,2025-09-16
496,MNT,1000,Тугриков,"23,1109",0.0231109,2025-09-16
949,TRY,10,Турецких лир,"20,1405",2.01405,2025-09-16
860,UZS,10000,Узбекских сумов,"66,8487",0.006684869999999999,2025-09-16
348,HUF,100,Форинтов,"25,0051",0.25005099999999997,2025-09-16
826,GBP,1,Фунт стерлингов,"112,6371",112.6371,2025-09-16
203,CZK,10,Чешских крон,"40,1837",4.01837,2025-09-16
752,SEK,10,Шведских крон,"88,9104",8.89104,2025-09-16
756,CHF,1,Швейцарский франк,"104,3484",104.3484,2025-09-16
230,ETB,100,Эфиопских быров,"57,7307",0.577307,2025-09-16
156,CNY,1,Юань,"11,5949",11.5949,2025-09-16
