NumCode,CharCode,Nominal,Name,Value,ValuePerUnit,Date
036,AUD,1,Австралийский доллар,"55,0935",55.0935,2025-09-19
944,AZN,1,Азербайджанский манат,"48,9250",48.925,2025-09-19
012,DZD,100,Алжирских динаров,"64,4487",0.644487,2025-09-19
051,AMD,100,Армянских драмов,"21,7393",0.217393,2025-09-19
764,THB,10,Батов,"26,1228",2.61228,2025-09-19
048,BHD,1,Бахрейнский динар,"221,1557",221.1557,2025-09-19
933,BYN,1,Белорусский рубль,"27,2750",27.275,2025-09-19
975,BGN,1,Болгарский лев,"50,3374",50.3374,2025-09-19
068,BOB,1,Боливиано,"12,0365",12.0365,2025-09-19
986,BRL,1,Бразильский реал,"15,6906",15.6906,2025-09-19
410,KRW,1000,Вон,"60,2699",0.0602699,2025-09-19
344,HKD,1,Гонконгский доллар,"10,7140",10.714,2025-09-19
980,UAH,10,Гривен,"20,1636",2.0163599999999997,2025-09-19
208,DKK,1,Датская крона,"13,1896",13.1896,2025-09-19
784,AED,1,Дирхам ОАЭ,"22,6474",22.6474,2025-09-19
840,USD,1,Доллар США,"83,1725",83.1725,2025-09-19
704,VND,10000,Донгов,"33,0233",0.00330233,2025-09-19
978,EUR,1,Евро,"98,9773",98.9773,2025-09-19
818,EGP,10,Египетских фунтов,"17,2563",1.72563,2025-09-19
985,PLN,1,Злотый,"23,1125",23.1125,2025-09-19
392,JPY,100,Иен,"56,6184",0.566184,2025-09-19
356,INR,100,Индийских рупий,"94,3845",0.943845,2025-09-19
364,IRR,100000,Иранских риалов,"14,3488",0.00014348800000000002,2025-09-19
124,CAD,1,Канадский доллар,"60,4451",60.4451,2025-09-19
634,QAR,1,Катарский риал,"22,8496",22.8496,2025-09-19
192,CUP,10,Кубинских песо,"34,6552",3.46552,2025-09-19
104,MMK,1000,Кьятов,"39,6060",0.039606,2025-09-19
981,GEL,1,Лари,"30,6423",30.6423,2025-09-19
498,MDL,10,Молдавских леев,"50,5104",5.0510399999999995,2025-09-19
566,NGN,1000,Найр,"55,6705",0.0556705,2025-09-19
554,NZD,1,Новозеландский доллар,"49,2548",49.2548,2025-09-19
934,TMT,1,Новый туркменский манат,"23,7636",23.7636,2025-09-19
578,NOK,10,Норвежских крон,"84,6824",8.46824,2025-09-19
512,OMR,1,Оманский риал,"216,3134",216.3134,2025-09-19
946,RON,1,Румынский лей,"19,4238",19.4238,2025-09-19
360,IDR,10000,Рупий,"50,6223",0.00506223,2025-09-19
710,ZAR,10,Рэндов,"47,8605",4.78605,2025-09-19
682,SAR,1,Саудовский риял,"22,1793",22.1793,2025-09-19
960,XDR,1,СДР (специальные права заимствования),"114,5901",114.5901,2025-09-19
941,RSD,100,Сербских динаров,"83,7269",0.837269,2025-09-19
702,SGD,1,Сингапурский доллар,"65,0395",65.0395,2025-09-19
417,KGS,100,Сомов,"95,1086",0.951086,2025-09-19
972,TJS,10,Сомони,"88,1307",8.81307,2025-09-19
050,BDT,100,Так,"68,2843",0.682843,2025-09-19
398,KZT,100,Тенге,"15,3736",0.15373599999999998,2025-09-19
496,MNT,1000,Тугриков,"23,1418",0.0231418,2025-09-19
949,TRY,10,Турецких лир,"20,1614",2.01614,2025-09-19
860,UZS,10000,Узбекских сумов,"67,8723",0.006787229999999999,2025-09-19
348,HUF,100,Форинтов,"25,3143",0.253143,2025-09-19
826,GBP,1,Фунт стерлингов,"113,6053",113.6053,2025-09-19
203,CZK,10,Чешских крон,"40,4476",4.04476,2025-09-19
752,SEK,10,Шведских крон,"89,7991",8.97991,2025-09-19
756,CHF,1,Швейцарский франк,"105,4017",105.4017,2025-09-19
230,ETB,100,Эфиопских быров,"58,1427",0.581427,2025-09-19
156,CNY,1,Юань,"11,6661",11.6661,2025-09-19
