NumCode,CharCode,Nominal,Name,Value,ValuePerUnit,Date
036,AUD,1,Австралийский доллар,"55,2267",55.2267,2025-09-17
944,AZN,1,Азербайджанский манат,"48,7270",48.727,2025-09-17
012,DZD,100,Алжирских динаров,"64,0699",0.640699,2025-09-17
051,AMD,100,Армянских драмов,"21,6214",0.21621400000000002,2025-09-17
764,THB,10,Батов,"26,0966",2.60966,2025-09-17
048,BHD,1,Бахрейнский динар,"220,2607",220.2607,2025-09-17
933,BYN,1,Белорусский рубль,"27,2846",27.2846,2025-09-17
975,BGN,1,Болгарский лев,"49,8330",49.833,2025-09-17
068,BOB,1,Боливиано,"11,9878",11.9878,2025-09-17
986,BRL,1,Бразильский реал,"15,5692",15.5692,2025-09-17
410,KRW,1000,Вон,"59,6156",0.0596156,2025-09-17
344,HKD,1,Гонконгский доллар,"10,6624",10.6624,2025-09-17
980,UAH,10,Гривен,"20,1179",2.01179,2025-09-17
208,DKK,1,Датская крона,"13,0569",13.0569,2025-09-17
784,AED,1,Дирхам ОАЭ,"22,5557",22.5557,2025-09-17
840,USD,1,Доллар США,"82,8359",82.8359,2025-09-17
704,VND,10000,Донгов,"32,8610",0.0032860999999999997,2025-09-17
978,EUR,1,Евро,"97,8903",97.8903,2025-09-17
818,EGP,10,Египетских фунтов,"17,2176",1.7217600000000002,2025-09-17
985,PLN,1,Злотый,"22,9883",22.9883,2025-09-17
392,JPY,100,Иен,"56,1980",0.56198,2025-09-17
356,INR,100,Индийских рупий,"94,0824",0.9408240000000001,2025-09-17
364,IRR,100000,Иранских риалов,"14,3201",0.000143201,2025-09-17
124,CAD,1,Канадский доллар,"60,0086",60.0086,2025-09-17
634,QAR,1,Катарский риал,"22,7571",22.7571,2025-09-17
192,CUP,10,Кубинских песо,"34,5150",3.4515000000000002,2025-09-17
104,MMK,1000,Кьятов,"39,4457",0.0394457,2025-09-17
981,GEL,1,Лари,"30,6221",30.6221,2025-09-17
498,MDL,10,Молдавских леев,"49,9839",4.99839,2025-09-17
566,NGN,1000,Найр,"55,3174",0.0553174,2025-09-17
554,NZD,1,Новозеландский доллар,"49,4033",49.4033,2025-09-17
934,TMT,1,Новый туркменский манат,"23,6674",23.6674,2025-09-17
578,NOK,10,Норвежских крон,"84,3380",8.4338,2025-09-17
512,OMR,1,Оманский риал,"215,4380",215.438,2025-09-17
946,RON,1,Румынский лей,"19,3325",19.3325,2025-09-17
360,IDR,10000,Рупий,"50,4943",0.005049430000000001,2025-09-17
710,ZAR,10,Рэндов,"47,7201",4.77201,2025-09-17
682,SAR,1,Саудовский риял,"22,0896",22.0896,2025-09-17
960,XDR,1,СДР (специальные права заимствования),"113,7445",113.7445,2025-09-17
941,RSD,100,Сербских динаров,"83,2637",0.832637,2025-09-17
702,SGD,1,Сингапурский доллар,"64,7611",64.7611,2025-09-17
417,KGS,100,Сомов,"94,7252",0.947252,2025-09-17
972,TJS,10,Сомони,"87,4895",8.74895,2025-09-17
050,BDT,100,Так,"67,9838",0.679838,2025-09-17
398,KZT,100,Тенге,"15,3065",0.153065,2025-09-17
496,MNT,1000,Тугриков,"23,0497",0.023049700000000003,2025-09-17
949,TRY,10,Турецких лир,"20,0609",2.00609,2025-09-17
860,UZS,10000,Узбекских сумов,"67,1029",0.006710290000000001,2025-09-17
348,HUF,100,Форинтов,"25,0547",0.250547,2025-09-17
826,GBP,1,Фунт стерлингов,"112,5740",112.574,2025-09-17
203,CZK,10,Чешских крон,"40,1940",4.0194,2025-09-17
752,SEK,10,Шведских крон,"89,3230",8.9323,2025-09-17
756,CHF,1,Швейцарский франк,"104,5776",104.5776,2025-09-17
230,ETB,100,Эфиопских быров,"57,3579",0.5735790000000001,2025-09-17
156,CNY,1,Юань,"11,6052",11.6052,2025-09-17
